zip_code,year,permits_count,retail_count,is_retail,is_grocery,is_restaurant,is_clothing,is_electronics,is_home_goods,is_beauty_health,is_entertainment,is_convenience_store,is_specialty_food,population,is_grocery_void_score,is_restaurant_void_score,is_clothing_void_score,is_electronics_void_score,is_home_goods_void_score,is_beauty_health_void_score,is_entertainment_void_score,is_convenience_store_void_score,is_specialty_food_void_score,total_void_score,most_needed_category
60608,2021.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51011.0,99.28761897347061,99.28761897347061,99.28761897347061,99.28761897347061,99.28761897347061,99.28761897347061,99.28761897347061,99.28761897347061,99.28761897347061,893.5885707612356,Grocery
60608,2017.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48834.0,95.05031434299394,95.05031434299394,95.05031434299394,95.05031434299394,95.05031434299394,95.05031434299394,95.05031434299394,95.05031434299394,95.05031434299394,855.4528290869455,Grocery
60608,2022.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47898.0,93.22848745547618,93.22848745547618,93.22848745547618,93.22848745547618,93.22848745547618,93.22848745547618,93.22848745547618,93.22848745547618,93.22848745547618,839.0563870992856,Grocery
60608,2019.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46745.0,90.9842925822839,90.9842925822839,90.9842925822839,90.9842925822839,90.9842925822839,90.9842925822839,90.9842925822839,90.9842925822839,90.9842925822839,818.858633240555,Grocery
60608,2020.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46091.0,89.71134943651829,89.71134943651829,89.71134943651829,89.71134943651829,89.71134943651829,89.71134943651829,89.71134943651829,89.71134943651829,89.71134943651829,807.4021449286646,Grocery
60608,2018.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46015.0,89.56342332171984,89.56342332171984,89.56342332171984,89.56342332171984,89.56342332171984,89.56342332171984,89.56342332171984,89.56342332171984,89.56342332171984,806.0708098954785,Grocery
60608,2016.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45975.0,89.48556747182592,89.48556747182592,89.48556747182592,89.48556747182592,89.48556747182592,89.48556747182592,89.48556747182592,89.48556747182592,89.48556747182592,805.3701072464332,Grocery
60608,2015.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44735.0,87.07203612511435,87.07203612511435,87.07203612511435,87.07203612511435,87.07203612511435,87.07203612511435,87.07203612511435,87.07203612511435,87.07203612511435,783.648325126029,Grocery
60608,2014.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44246.0,86.12024836016117,86.12024836016117,86.12024836016117,86.12024836016117,86.12024836016117,86.12024836016117,86.12024836016117,86.12024836016117,86.12024836016117,775.0822352414507,Grocery
60608,2013.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43586.0,84.83562683691146,84.83562683691146,84.83562683691146,84.83562683691146,84.83562683691146,84.83562683691146,84.83562683691146,84.83562683691146,84.83562683691146,763.5206415322032,Grocery
