zip_code,population,permit_count,population_change
60601,15785.272727272728,873.0,0.01062802454931073
60602,2123.090909090909,3393.0,0.006011119270067321
60603,3128.2727272727275,720.0,0.014888377672681169
60604,5300.818181818182,362.0,0.008423877655047485
60605,31666.909090909092,699.0,0.0028422431336448672
60606,5243.727272727273,1169.0,0.015499684115906262
60607,26189.81818181818,1548.0,0.0012746275378728023
60608,46955.72727272727,615.0,0.014883275855185655
60609,21428.090909090908,841.0,0.007814600134856695
60610,21076.727272727272,986.0,0.017865942659435797
60611,21001.454545454544,1170.0,0.008254887585093776
60612,20980.363636363636,797.0,0.008887639362886168
60613,20977.18181818182,621.0,0.0102119282807867
60614,21103.090909090908,995.0,0.004664850754685229
60615,20978.090909090908,200.0,0.009750680833779557
60616,20804.454545454544,1062.0,0.008876006554956442
60617,20974.272727272728,256.0,0.01575322512818278
60618,21230.909090909092,1206.0,0.006769448943522438
60619,20819.0,342.0,0.010228092751198783
60620,20890.18181818182,139.0,0.012492612121645217
60621,20877.727272727272,137.0,0.009838127557667312
60622,21056.81818181818,2211.0,0.005538486446933009
60623,21165.454545454544,259.0,0.00728744130656897
60624,21209.0,132.0,0.008888564687277315
60625,21211.272727272728,513.0,0.006328468140399131
60626,21059.090909090908,146.0,0.01576013582272324
60628,20591.090909090908,149.0,0.010778066557976954
60629,21092.272727272728,273.0,0.011829966796867208
60630,21037.363636363636,416.0,0.006559847423570427
60631,21208.909090909092,580.0,0.007983265571962115
60632,21103.81818181818,269.0,0.006532185221097784
60633,20938.81818181818,33.0,0.010481571725819842
60634,20889.81818181818,416.0,0.007706651472334051
60636,21120.727272727272,92.0,0.01419689028031417
60637,20909.909090909092,324.0,0.008127412679617132
60638,20721.18181818182,271.0,0.004347086888814411
60639,21140.81818181818,213.0,0.004764725256001939
60640,21191.454545454544,585.0,0.006013480125819935
60641,21036.0,642.0,0.007505806473848686
60642,21174.909090909092,488.0,0.008351190243857656
60643,21145.545454545456,368.0,0.004898480402180744
60644,21176.727272727272,118.0,0.008591467056565319
60645,20884.090909090908,466.0,0.007171071477952197
60646,20740.909090909092,506.0,0.011056772797323006
60647,21279.363636363636,1583.0,0.009350833014034998
60649,21115.363636363636,145.0,0.009751520077969459
60651,20977.0,220.0,0.012898565133946938
60652,20924.727272727272,78.0,0.012123129834234367
60653,20976.090909090908,153.0,0.01101428598663276
60654,20929.636363636364,889.0,0.010257866560845005
60655,21019.545454545456,313.0,0.007785824624105274
60656,20965.909090909092,185.0,0.006955596402041658
60657,21206.0,986.0,0.006408561934335551
60659,21002.090909090908,222.0,0.010138778861374237
60660,21233.454545454544,211.0,0.00775759536711626
60661,21328.909090909092,698.0,0.008458425728280067
60666,20801.81818181818,125.0,0.009536958015874963
60707,20859.090909090908,87.0,0.01004516356474268
60827,21362.18181818182,3.0,0.011767819710483286
