permit_,permit_type,reported_cost,issue_date,street_number,street_direction,street_name,contact_1_city,contact_1_state,work_description,contact_1_zipcode,community_area,ward,address,zip_code
B200410784,PERMIT – EXPRESS PERMIT PROGRAM,1084400,2025-01-22T00:00:00.000,1400,S,JEAN BAPTISTE POINTE DUSABLE LAKE SHORE DR,,,"DUCTWORK EXTENSION/RECONFIGURATION, HYDRONIC PIPING EXTENSION/RECONFIGURATION, REPAIR/REPLACEMENT AFFECTING 1 SYSTEMS :   2 CHILLER(VTS & VENTROL, CUSTOM MODELS, SW MECH RM G365 AND SW MECH RM CG364) . ELECTRICAL WORK UNDER THIS PERMIT = NO . LOCATIONS: 0 RESIDENTIAL UNIT(S), 2 NON-RESIDENTIAL UNIT(S), 2 INTERIOR COMMON AREAS,  ADMINISTRATIVE OFFICES FOURTH FLOOR.",,33,4,"1400 S JEAN BAPTISTE POINTE DUSABLE LAKE SHORE DR, CHICAGO, IL",
B200411921,PERMIT – EXPRESS PERMIT PROGRAM,5800,2025-01-23T00:00:00.000,200,W,MADISON ST,,,LINE VOLTAGE ELECTRICAL WORK. REPAIR OR ALTER DEVICES ON EXISTING CIRCUITS. RECEPTACLE OUTLETS: 36 . LIGHTING OUTLETS: 0. SPECIFIC LOCATION: SUITE 3300.,,32,34,"200 W MADISON ST, CHICAGO, IL",
B200411865,PERMIT – EXPRESS PERMIT PROGRAM,6500,2025-01-30T00:00:00.000,5601,W,HIRSCH ST,,,"REPAIR/REPLACEMENT AFFECTING 1 SYSTEMS :   2 DUCT FURNACE(HEIL, N80MSN070, MECHANICAL CLOSET IN UNIT.) . ELECTRICAL WORK UNDER THIS PERMIT = NO . LOCATIONS: 2 RESIDENTIAL UNIT(S), 0 NON-RESIDENTIAL UNIT(S),  IN UNIT MECHANICAL ROOM.",,25,29,"5601 W HIRSCH ST, CHICAGO, IL",
100135987,PERMIT - EASY PERMIT PROCESS,350,2006-09-13T00:00:00.000,1623,N,MAYFIELD AVE,CHICAGO,IL,"BASEMENT DECONVERSION: REMOVE KITCHEN STOVE, KITCHEN SINK, AND CABINETS AND CAP ALL PIPES. KEEP EXISTING BATHROOM AND RECREATION ROOMS IN BASEMENT. ALL WORK SAME AS EXISTING.",,,,"1623 N MAYFIELD AVE, CHICAGO, IL",
100170302,PERMIT - RENOVATION/ALTERATION,20000,2008-05-02T00:00:00.000,5205,W,SCHOOL ST,CHICAGO,IL,"ERECT 2ND FLOOR DORMER ADDITION W/ ROOF EXTENSION TO EXISTING SINGLE FAMILY DU INCLUDING ELECTRICAL, PLUMBING AND HVAC AS PER HOMEOWNER PLANS (1ST FLOOR AND BASEMENT CONFIGURATION EXISTING)",,15,38,"5205 W SCHOOL ST, CHICAGO, IL",
100356980,PERMIT - EASY PERMIT PROCESS,15000,2010-08-04T00:00:00.000,680,N,LAKE SHORE DR,CHGO,IL,WORK TO CONDO UNIT 1513: INSTALL CABINETS & TILE. REPLACE PLUMBING FIXTURES. ELECTRICAL- ALL WORK SAME AS EXISTING,,8,42,"680 N LAKE SHORE DR, CHICAGO, IL",
B200412280,PERMIT – EXPRESS PERMIT PROGRAM,,2025-01-31T00:00:00.000,50,S,LA SALLE ST,,,ELECTRICAL MAINTENANCE PERMIT. OCCUPANCY: BUSINESS. START DATE: 2/1/2025. END DATE: 3/3/2025. ALL WORK UNDER THIS PERMIT MUST BE PERFORMED BY EMPLOYEES OF THE LISTED ELECTRICAL CONTRACTOR. THE ELECTRICAL CONTRACTOR MUST MAINTAIN COMPLETE WRITTEN RECORDS OF ALL WORK PERFORMED UNDER THIS PERMIT AND MAKE THOSE RECORDS AVAILABLE TO THE BUILDING COMMISSIONER UPON REQUEST.,,32,42,"50 S LA SALLE ST, CHICAGO, IL",
B200412358,PERMIT – EXPRESS PERMIT PROGRAM,,2025-01-31T00:00:00.000,12800,S,BUTLER DR,,,ELECTRICAL MAINTENANCE PERMIT. OCCUPANCY: FACTORY/INDUSTRIAL. START DATE: 2/3/2025. END DATE: 3/5/2025. ALL WORK UNDER THIS PERMIT MUST BE PERFORMED BY EMPLOYEES OF THE LISTED ELECTRICAL CONTRACTOR. THE ELECTRICAL CONTRACTOR MUST MAINTAIN COMPLETE WRITTEN RECORDS OF ALL WORK PERFORMED UNDER THIS PERMIT AND MAKE THOSE RECORDS AVAILABLE TO THE BUILDING COMMISSIONER UPON REQUEST.,,51,10,"12800 S BUTLER DR, CHICAGO, IL",
100122419,PERMIT - EASY PERMIT PROCESS,5000,2006-07-06T00:00:00.000,2904,N,WOODARD ST,CHICAGO,IL,REMOVE AND REPLACE ALL PLASTERBOARD AND REDO. ELECTRIC TO CODE.,,,,"2904 N WOODARD ST, CHICAGO, IL",
100159081,PERMIT - RENOVATION/ALTERATION,6000,2007-01-31T00:00:00.000,2715,N,MARMORA AVE,CHCIAGO,IL,INTERIOR ALTERATIONS TO DUPLEX BASEMENT W/ FIRST FLOOR TO EXISTING 2DU BUILDING AS PER ARCHITECT'S PLANS,,,,"2715 N MARMORA AVE, CHICAGO, IL",
100168558,PERMIT - EASY PERMIT PROCESS,6000,2007-03-21T00:00:00.000,5925,S,FRANCISCO AVE,CHICAGO,IL,"ERECT A DETACHED FRAME GARAGE, 22' X 22' X 13', WITH TWO - ONE SQ. FOOT ROOF VENTS, TWO OVERHEAD DOORS, (REAR DOOR, 8' HIGH X 6' WIDE), 32"" ENTRY DOOR.",,,,"5925 S FRANCISCO AVE, CHICAGO, IL",
100201201,PERMIT - EASY PERMIT PROCESS,5000,2007-09-20T00:00:00.000,949,N,DRAKE AVE,CHICAGO,IL,"REMOVE / REPLACE DRYWALL. ELECTRICAL REPAIRS TO INCLUDE:CIRCUITS, NEW 100 AMP. SERVICE, LIGHT FIXTURES AND RECEPTACLES.NO PLUMBING WORK. ALL WORK SUBJECT TO FIELD INSPECTION.",,,,"949 N DRAKE AVE, CHICAGO, IL",
100219026,PERMIT - RENOVATION/ALTERATION,18500,2008-01-18T00:00:00.000,2815,S,GRADY CT,CHICAGO,IL,NEW 1 STORY ATTACHED GARAGE WITH 2ND FLOOR ADDITION AS PER PLANS. AND WOOD STAIRS. (NO PLUMBING AND NO REFRIGERATION UNDER THIS PERMIT),,,,"2815 S GRADY CT, CHICAGO, IL",
100222782,PERMIT - EASY PERMIT PROCESS,9441,2008-02-05T00:00:00.000,3542,W,BRYN MAWR AVE,CHICAGO,IL,"DECONVERSION PERMIT TO REMOVE ILEGAL BASEMENT UNIT:REMOVE ALL NON - LOAD BEARING PARTITION WALLS, REMOVE BASEMENT KITCHEN SINK AND CAP OFF ALL RELATED PLUMBING,REMOVE ANY ILEGAL PLUMBING. ALL WORK SUBJECT TO FIELD INSPECTION.",,,,"3542 W BRYN MAWR AVE, CHICAGO, IL",
100332951,PERMIT - RENOVATION/ALTERATION,12300,2011-02-07T00:00:00.000,2806,S,KARLOV AVE,,,DECONVERT A 3 D.U. TO 2 D.U. BY ANNEXING 2ND AND 3RD FLOOR APARTMENTS AND DORMER SOUTH SIDE OF 3RD FLOOR  AS PER PLANS.,,30,22,"2806 S KARLOV AVE, CHICAGO, IL",
100654313,PERMIT - RENOVATION/ALTERATION,150000,2016-08-04T00:00:00.000,701,N,LARAMIE AVE,,,"DECONVERSION OF BASEMENT UNITS INCLUDES GUT REHAB WITH INTERIOR ALTERATIONS, REPLACEMENT OF 3 REAR PORCH SYSTEMS & REAR EXTERIOR BRICK INFILL WITH 6 UNITS TO REMAIN IN EXISTING 2 STORY RESIDENTIAL BUILDING PER PLANS  **CERTIFIED PLANS CORRECTIONS: CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTIONS **",,25,37,"701 N LARAMIE AVE, CHICAGO, IL",
100783782,PERMIT - RENOVATION/ALTERATION,60000,2018-11-13T00:00:00.000,3025,S,POPLAR AVE,CHICAGO,IL,2-UNIT RESIDENTIAL BUILDING INTERIOR BUILD-OUT AS PER PLANS,,60,11,"3025 S POPLAR AVE, CHICAGO, IL",
B200404690,PERMIT – EXPRESS PERMIT PROGRAM,20000,2025-02-04T00:00:00.000,3402,N,CICERO AVE,CHICAGO,ILLINOIS,"MINOR STRUCTURAL REPAIRS TO PARTIAL BASEMENT CEILING. LOCATIONS: 0 RESIDENTIAL UNIT(S), 1 NON-RESIDENTIAL UNIT(S), INTERIOR FIRST FLOOR OVER PARTIAL BASEMENT.",,15,31,"3402 N CICERO AVE, CHICAGO, IL",
B200412952,PERMIT – EXPRESS PERMIT PROGRAM,24800,2025-02-04T00:00:00.000,1601,W,WILSON AVE,,,"TUCKPOINTING AND UNIT MASONRY REPAIR / REPLACEMENT: 800 SQ. FT., LINTEL QTY. 3, MAX. LENGTH 6. LOCATION: 1601-1605 W WILSON AVE- FRONT FACADE.",,3,47,"1601 W WILSON AVE, CHICAGO, IL",
100089156,PERMIT - SIGNS,0,2006-01-18T00:00:00.000,687,N,MILWAUKEE AVE,,,AWNING - 386418,,,,"687 N MILWAUKEE AVE, CHICAGO, IL",
100573688,PERMIT - RENOVATION/ALTERATION,950000,2014-12-22T00:00:00.000,550,W,VAN BUREN ST,,,"**SELF-CERTIFICATION***  INTERIOR BUILDOUT OF 11TH FLOOR FOR BUSINESSUSE, PER PLANS",,28,2,"550 W VAN BUREN ST, CHICAGO, IL",
100740977,PERMIT - EASY PERMIT PROCESS,16930,2017-12-20T00:00:00.000,325,N,LA SALLE DR,,,"REMOVE\REPLACE 2 DOORS, 5 WINDOWS & WINDOW FRAMING TO MATCH EXISTING FOR OFFICE BUILDING ENTRY. NO CHANGE TO OPENING. ALL WORK SAME AS EXISTING. ALL WORK NON STRUCTURAL. ALL WORK SUBJECT TO FIELD INSPECTIONS.",,8,42,"325 N LA SALLE DR, CHICAGO, IL",
B200413159,PERMIT – EXPRESS PERMIT PROGRAM,2780,2025-02-05T00:00:00.000,101,N,WACKER DR,,,LINE VOLTAGE ELECTRICAL WORK. REPAIR OR ALTER DEVICES ON EXISTING CIRCUITS. RECEPTACLE OUTLETS: 24 . LIGHTING OUTLETS: 0. SPECIFIC LOCATION: 22ND FLOOR.,,32,42,"101 N WACKER DR, CHICAGO, IL",
B200413163,PERMIT – EXPRESS PERMIT PROGRAM,15600,2025-02-05T00:00:00.000,101,N,WACKER DR,,,LINE VOLTAGE ELECTRICAL WORK. REPAIR OR ALTER DEVICES ON EXISTING CIRCUITS. RECEPTACLE OUTLETS: 138 . LIGHTING OUTLETS: 0. SPECIFIC LOCATION: 23RD FLOOR.,,32,42,"101 N WACKER DR, CHICAGO, IL",
100581017,PERMIT - RENOVATION/ALTERATION,45000,2015-09-23T00:00:00.000,3543,W,12TH PL,,,"DECONVERT FROM 4 D.U. TO 3 D.U.  NEW DUPLEX TO LOWER LEVEL IN EXISTING 3 STORY BUILDING. NEW 3 CAR GARAGE, NEW WROUGHT IRON FENCE, INTERIOR ALTERATIONS & REPLACEMENT OF INTERIOR FINISHES, NEW MECHANICAL, ELECTRICAL, & PLUMBING UPGRADES.       **CERTIFIED PLAN CORRECTIONS PROJECT - CONDITIONAL PERMIT: SUBJECT TO FIELD INSPECTIONS **",,29,24,"3543 W 12TH PL, CHICAGO, IL",
B200403497,PERMIT – EXPRESS PERMIT PROGRAM,792135,2024-11-25T00:00:00.000,401,N,MICHIGAN AVE,,,"LOW VOLTAGE/COMMUNICATION ELECTRICAL WORK. INSTALL TELEPHONE. SPECIFIC LOCATION: 32ND, 33RD, 34TH, AND 35TH FLOORS.",,8,42,"401 N MICHIGAN AVE, CHICAGO, IL",
B200413387,PERMIT – EXPRESS PERMIT PROGRAM,1500,2025-02-08T00:00:00.000,4211,W,25TH PL,,,LINE VOLTAGE ELECTRICAL WORK. NEW PERMANENT 200 AMP SERVICE DISCONNECTING MEANS WITH 40 CIRCUITS. RECEPTACLE OUTLETS: 1 . LIGHTING OUTLETS: 1. SPECIFIC LOCATION: EXTERIOR METER BANK.,,30,22,"4211 W 25TH PL, CHICAGO, IL",
B101056843,PERMIT – EXPRESS PERMIT PROGRAM,2500,2024-08-02T00:00:00.000,1106,W,GRANVILLE AVE,MORTON GROVE,IL,INSTALL 2X4 SURFACE-MOUNTED CEILING LIGHT. INSTALL 6 OUTLET RECEPTACLES. INCLUDING PIPING AND WIRING. 120V / 20AMP / 1PH,,77,48,"1106 W GRANVILLE AVE, CHICAGO, IL",
B200413392,PERMIT – EXPRESS PERMIT PROGRAM,20000,2025-02-10T00:00:00.000,11700,S,COTTAGE GROVE AVE,,,LINE VOLTAGE ELECTRICAL WORK. REPAIR OR ALTER DEVICES ON EXISTING CIRCUITS. RECEPTACLE OUTLETS: 1 . LIGHTING OUTLETS: 1. SPECIFIC LOCATION: MECHANICAL/FIRE PUMP ROOM.,,54,9,"11700 S COTTAGE GROVE AVE, CHICAGO, IL",
B200413156,PERMIT – EXPRESS PERMIT PROGRAM,,2025-02-12T00:00:00.000,4339,S,LAKE PARK AVE,,,"FOR PERMIT 101007022: ADDITIONAL PLUMBING CONTRACTOR.  NEW CONTRACTOR(S) LISTED UNDER ""OTHER APPLICANTS AND CONTRACTORS"" ON PERMIT CERTIFICATE.",,39,4,"4339 S LAKE PARK AVE, CHICAGO, IL",
B200410456,PERMIT – EXPRESS PERMIT PROGRAM,6649927,2025-02-12T00:00:00.000,2020,N,LINCOLN PARK WEST,,,"IN-KIND REPLACEMENT OF EXTERIOR WINDOWS AND DOORS IN EXISTING OPENINGS. REPLACEMENT WINDOWS: 500; REPLACEMENT SKYLIGHTS: 0; REPLACEMENT DOORS: 0. AFFECTS: 53 RESIDENTIAL UNIT(S), 0 NON-RESIDENTIAL UNIT(S), 3 INTERIOR COMMON AREAS, LOCATION: 25 FLOORS, MEZZANINE, BASEMENT.",,7,43,"2020 N LINCOLN PARK WEST, CHICAGO, IL",
B200413230,PERMIT – EXPRESS PERMIT PROGRAM,15000,2025-02-12T00:00:00.000,2839,W,MONROE ST,,,NEW DETACHED WOOD FRAME GARAGE. DIMENSIONS AND SETBACKS PER APPLICATION. BUILDING OUTSIDE DIMENSIONS: 22'-0' ' X18'-0' '. GABLE ROOF HEIGHT TO PEAK: 12'-0' '.,,27,27,"2839 W MONROE ST, CHICAGO, IL",
B200021286,PERMIT – EXPRESS PERMIT PROGRAM,27350,2024-06-25T00:00:00.000,10810,S,EBERHART AVE,,,NEW DETACHED WOOD FRAME GARAGE. DIMENSIONS AND SETBACKS PER APPLICATION. BUILDING OUTSIDE DIMENSIONS: 22'-0' ' X20'-0' '. HIP ROOF HEIGHT TO PEAK: 15'-0' '.,,49,9,"10810 S EBERHART AVE, CHICAGO, IL",
B200413628,PERMIT – EXPRESS PERMIT PROGRAM,97000,2025-02-14T00:00:00.000,155,N,WACKER DR,,,LOW VOLTAGE/COMMUNICATION ELECTRICAL WORK. ALTER EXISTING OTHER. SPECIFIC LOCATION: 32 AND 33.,,32,42,"155 N WACKER DR, CHICAGO, IL",
100734558,PERMIT - RENOVATION/ALTERATION,50000,2017-12-12T00:00:00.000,1200,W,FULLERTON AVE,,,"REPLACE (3) EXISTING ANTENNAS WITH (3) NEW ANTENNAS. REPLACE (3) EXISTING RADIOS WITH (3) NEW RADIOS ON NEW ""H"" FRAME MOUNTED TO HANDRAIL ON EQUIPMENT PLATFORM WITH ASSOCIATED CABLING PER PLANS AT EXISTING WIRELESS FACILITY ON ROOF TOP.  ATT FA 10095186/SITE ID IL1599. ELECTRICAL PERMIT # 100732282. PREVIOUS PERMIT # 100687071.",,7,43,"1200 W FULLERTON AVE, CHICAGO, IL",
B200412231,PERMIT – EXPRESS PERMIT PROGRAM,5000,2025-02-17T00:00:00.000,3410,N,LAKE SHORE DR,,,LOW VOLTAGE/COMMUNICATION ELECTRICAL WORK. ALTER EXISTING OTHER. SPECIFIC LOCATION: ROOFTOP.,,6,44,"3410 N LAKE SHORE DR, CHICAGO, IL",
B200407444,PERMIT – EXPRESS PERMIT PROGRAM,2800,2024-12-03T00:00:00.000,3051,S,PULASKI RD,,,"TUCKPOINTING AND UNIT MASONRY REPAIR / REPLACEMENT: 100 SQ. FT., LINTEL QTY. 0, MAX. LENGTH 0. LOCATION: BRICK WALL REPAIR & CHIMNEY REPAIR.",,30,22,"3051 S PULASKI RD, CHICAGO, IL",
B200413493,PERMIT – EXPRESS PERMIT PROGRAM,25400,2025-02-13T00:00:00.000,321,N,CLARK ST,,,"LOW VOLTAGE/COMMUNICATION ELECTRICAL WORK. INSTALL DATA/VIDEO. SPECIFIC LOCATION: 6TH FLOOR, GENERAL OFFICE AREA, IDF ROOM.",,8,42,"321 N CLARK ST, CHICAGO, IL",
100954903,PERMIT - RENOVATION/ALTERATION,30000,2022-10-20T00:00:00.000,3801,W,FULLERTON AVE,CHICAGO,IL,"SPR 2019 CBRC - NEW SHIPPING CONTAINER ADDITION, WITH 1-STORY ENCLOSED VESTIBULE ADDITION FOR INTERIOR RESTAURANT TENANT BUILD-OUT IN UNIT #3 TO AN EXISTING 2-STORY RETAIL AND 2 DWELLING UNIT BUILDING. (NO WALK UP PICK-UP WINDOW ALLOWED) AS PER PLANS**CERTIFIED CORRECTIONS SUBJECT TO FIELD INSPECTIONS & AUDIT **",,22,35,"3801 W FULLERTON AVE, CHICAGO, IL",
B200414366,PERMIT – EXPRESS PERMIT PROGRAM,60000,2025-02-24T00:00:00.000,1154,E,56TH ST,ENGLEWOOD,NJ,"LINE VOLTAGE ELECTRICAL WORK. NEW PERMANENT 800 AMP SERVICE DISCONNECTING MEANS WITH 10 CIRCUITS. RECEPTACLE OUTLETS: 1 . LIGHTING OUTLETS: 1. SPECIFIC LOCATION: BASEMENT, BACK OF THE BUILDING.",,41,5,"1154 E 56TH ST, CHICAGO, IL",
B200407735,PERMIT – EXPRESS PERMIT PROGRAM,,2025-02-24T00:00:00.000,500,E,51ST ST,,,FIRE ALARM: MODIFICATION OF EXISTING SYSTEM. ASSOCIATED BUILDING PERMIT:B200407735. AFFECTS: 0 DWELLING UNITS; 2 NON-RESIDENTIAL UNITS. HIGH-RISE BUILDING: NO. VOICE COMMUNICATION: YES. SPECIAL LOCKING: NO. MONITORING TYPE: CITY FIRE ALARM BOX CONNECTION . SPECIFIC LOCATION: BASEMENT AND FIRST FLOOR.,,38,20,"500 E 51ST ST, CHICAGO, IL",
B200413091,PERMIT – EXPRESS PERMIT PROGRAM,38000,2025-02-25T00:00:00.000,5050,W,FOSTER AVE,,,LINE VOLTAGE ELECTRICAL WORK. NEW PERMANENT 600 AMP SERVICE DISCONNECTING MEANS WITH 42 CIRCUITS. RECEPTACLE OUTLETS: 1 . LIGHTING OUTLETS: 1. SPECIFIC LOCATION: WEST EXTERIOR WALL OF BUILDING ON LECLAIRE.,,12,45,"5050 W FOSTER AVE, CHICAGO, IL",
100166648,PERMIT - EASY PERMIT PROCESS,15000,2007-03-09T00:00:00.000,5514,S,HOYNE AVE,CHICAGO,IL,"PATCH AND REPAIR DRYWALL AS NEEEDED, REPLACE THREE DOORS, SIX WINDOWS, NINE PLUMBING FIXTURES. ELECTRICAL REPAIRS TO INCLUDE: REPAIR SERVICE AND NEW CIRCUITS. ALL WORK SUBJECT TO FIELD INSPECTION.",,,,"5514 S HOYNE AVE, CHICAGO, IL",
100683221,PERMIT - RENOVATION/ALTERATION,140000,2017-05-31T00:00:00.000,8028,S,LA SALLE ST,,,"FIRE REHAB OF SINGLE FAMILY RESIDENCE, NEW 2ND FLOOR ADDITION  REPLACE REAR ENCLOSED FRAME PORCH WITH NEW REAR 2-STORY WOOD DECK. A-1 RESIDENTIAL, NO CHANGE IN USE.**CERTIFIED CORRECTIONS- - SUBJECT TO FIELD INSPECTIONS & AUDIT **",,44,17,"8028 S LA SALLE ST, CHICAGO, IL",
100787475,PERMIT - EASY PERMIT PROCESS,0,2018-10-10T00:00:00.000,6700,S,COTTAGE GROVE AVE,,,REPLACE OFFICE SINK,,42,20,"6700 S COTTAGE GROVE AVE, CHICAGO, IL",
B200415281,PERMIT – EXPRESS PERMIT PROGRAM,,2025-02-27T00:00:00.000,1645,W,JACKSON BLVD,,,ELECTRICAL MAINTENANCE PERMIT. OCCUPANCY: BUSINESS. START DATE: 3/1/2025. END DATE: 3/31/2025. ALL WORK UNDER THIS PERMIT MUST BE PERFORMED BY EMPLOYEES OF THE LISTED ELECTRICAL CONTRACTOR. THE ELECTRICAL CONTRACTOR MUST MAINTAIN COMPLETE WRITTEN RECORDS OF ALL WORK PERFORMED UNDER THIS PERMIT AND MAKE THOSE RECORDS AVAILABLE TO THE BUILDING COMMISSIONER UPON REQUEST.,,28,34,"1645 W JACKSON BLVD, CHICAGO, IL",
B200415284,PERMIT – EXPRESS PERMIT PROGRAM,,2025-02-27T00:00:00.000,300,S,ASHLAND AVE,,,ELECTRICAL MAINTENANCE PERMIT. OCCUPANCY: BUSINESS. START DATE: 3/1/2025. END DATE: 3/31/2025. ALL WORK UNDER THIS PERMIT MUST BE PERFORMED BY EMPLOYEES OF THE LISTED ELECTRICAL CONTRACTOR. THE ELECTRICAL CONTRACTOR MUST MAINTAIN COMPLETE WRITTEN RECORDS OF ALL WORK PERFORMED UNDER THIS PERMIT AND MAKE THOSE RECORDS AVAILABLE TO THE BUILDING COMMISSIONER UPON REQUEST.,,28,34,"300 S ASHLAND AVE, CHICAGO, IL",
B200412235,PERMIT – EXPRESS PERMIT PROGRAM,5000,2025-02-27T00:00:00.000,3030,N,BROADWAY,,,LOW VOLTAGE/COMMUNICATION ELECTRICAL WORK. ALTER EXISTING OTHER. SPECIFIC LOCATION: ROOFTOP.,,6,44,"3030 N BROADWAY, CHICAGO, IL",
B200415289,PERMIT – EXPRESS PERMIT PROGRAM,,2025-02-27T00:00:00.000,410,N,MICHIGAN AVE,,,ELECTRICAL MAINTENANCE PERMIT. OCCUPANCY: BUSINESS. START DATE: 3/1/2025. END DATE: 3/31/2025. ALL WORK UNDER THIS PERMIT MUST BE PERFORMED BY EMPLOYEES OF THE LISTED ELECTRICAL CONTRACTOR. THE ELECTRICAL CONTRACTOR MUST MAINTAIN COMPLETE WRITTEN RECORDS OF ALL WORK PERFORMED UNDER THIS PERMIT AND MAKE THOSE RECORDS AVAILABLE TO THE BUILDING COMMISSIONER UPON REQUEST.,,8,42,"410 N MICHIGAN AVE, CHICAGO, IL",
B200412613,PERMIT – EXPRESS PERMIT PROGRAM,10000,2025-02-27T00:00:00.000,4345,N,SAWYER AVE,,,LOW VOLTAGE/COMMUNICATION ELECTRICAL WORK. ALTER EXISTING OTHER. SPECIFIC LOCATION: ROOFTOP.,,16,33,"4345 N SAWYER AVE, CHICAGO, IL",
B200415279,PERMIT – EXPRESS PERMIT PROGRAM,,2025-02-27T00:00:00.000,1640,W,JACKSON BLVD,,,ELECTRICAL MAINTENANCE PERMIT. OCCUPANCY: BUSINESS. START DATE: 3/1/2025. END DATE: 3/31/2025. ALL WORK UNDER THIS PERMIT MUST BE PERFORMED BY EMPLOYEES OF THE LISTED ELECTRICAL CONTRACTOR. THE ELECTRICAL CONTRACTOR MUST MAINTAIN COMPLETE WRITTEN RECORDS OF ALL WORK PERFORMED UNDER THIS PERMIT AND MAKE THOSE RECORDS AVAILABLE TO THE BUILDING COMMISSIONER UPON REQUEST.,,28,34,"1640 W JACKSON BLVD, CHICAGO, IL",
B200415288,PERMIT – EXPRESS PERMIT PROGRAM,,2025-02-27T00:00:00.000,400,N,MICHIGAN AVE,,,ELECTRICAL MAINTENANCE PERMIT. OCCUPANCY: BUSINESS. START DATE: 3/1/2025. END DATE: 3/31/2025. ALL WORK UNDER THIS PERMIT MUST BE PERFORMED BY EMPLOYEES OF THE LISTED ELECTRICAL CONTRACTOR. THE ELECTRICAL CONTRACTOR MUST MAINTAIN COMPLETE WRITTEN RECORDS OF ALL WORK PERFORMED UNDER THIS PERMIT AND MAKE THOSE RECORDS AVAILABLE TO THE BUILDING COMMISSIONER UPON REQUEST.,,8,42,"400 N MICHIGAN AVE, CHICAGO, IL",
101007089,PERMIT - RENOVATION/ALTERATION,2000,2023-04-13T00:00:00.000,4643,S,MICHIGAN AVE,,,"SPR 2019 CBRC: REMOVE EXISTING 3-STORY EXTERIOR FRONT MASONRY OPEN  BALONIES.AS PER PLANS. (OCCUPANCY GROUP R-5; TYPE IIIA CONSTRUCTION).**CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTIONS, CERTIFIED CORRECTIONS**",,38,3,"4643 S MICHIGAN AVE, CHICAGO, IL",
B200415115,PERMIT – EXPRESS PERMIT PROGRAM,10000,2025-03-03T00:00:00.000,53,W,JACKSON BLVD,,,LINE VOLTAGE ELECTRICAL WORK. REPAIR OR ALTER DEVICES ON EXISTING CIRCUITS. RECEPTACLE OUTLETS: 1 . LIGHTING OUTLETS: 1. SPECIFIC LOCATION: OFFICE. | SPECIAL CONDITION: INTERIOR ELECTRICAL WORK ONLY WITH THIS PERMIT.,,32,4,"53 W JACKSON BLVD, CHICAGO, IL",
100661415,PERMIT - RENOVATION/ALTERATION,25000,2017-02-06T00:00:00.000,1062,W,ARGYLE ST,,,OIA '1054 W ARGYLE ST' REVISION TO PERMIT #100594795 TO INSTALL NEW REFRIGERATED FOOD DISPLAY AREA AND CONSTRUCT NEW RESTROOMS. (ALSO KNOWN AS 1062-1068 W ARGYLE ST),,3,48,"1062 W ARGYLE ST, CHICAGO, IL",
B200006927,PERMIT – EXPRESS PERMIT PROGRAM,75000,2024-01-30T00:00:00.000,3144,W,DIVERSEY AVE,,,"REMOVE NON STRUCTURAL INTERIOR PARTITIONS, PLASTER, HVAC, ELECTRICAL, AND PLUMBING, BATHROOM FIXTURES, KITCHEN FIXTURES. NO STRUCTURAL WORK UNDER THIS PERMIT; ALL OTHER WORK UNDER APPLICATION/PERMIT # 101041506",,21,35,"3144 W DIVERSEY AVE, CHICAGO, IL",
B200414846,PERMIT – EXPRESS PERMIT PROGRAM,,2025-03-04T00:00:00.000,2,E,OAK ST,LAKEWOOD,NJ,"TEMPORARY SCAFFOLDING: QTY: 1,  MAX. LENGTH: 24 FT., MAX. HEIGHT: 468 FT. LOCATION: EXTERIOR BUILDING. PERMIT EXPIRATION DATE: 365 DAYS FROM PERMIT ISSUED DATE",,8,42,"2 E OAK ST, CHICAGO, IL",
B200415153,PERMIT – EXPRESS PERMIT PROGRAM,,2025-03-04T00:00:00.000,12800,S,BUTLER DR,,,ELECTRICAL MAINTENANCE PERMIT. OCCUPANCY: FACTORY/INDUSTRIAL. START DATE: 3/1/2025. END DATE: 3/31/2025. ALL WORK UNDER THIS PERMIT MUST BE PERFORMED BY EMPLOYEES OF THE LISTED ELECTRICAL CONTRACTOR. THE ELECTRICAL CONTRACTOR MUST MAINTAIN COMPLETE WRITTEN RECORDS OF ALL WORK PERFORMED UNDER THIS PERMIT AND MAKE THOSE RECORDS AVAILABLE TO THE BUILDING COMMISSIONER UPON REQUEST.,,51,10,"12800 S BUTLER DR, CHICAGO, IL",
B200415291,PERMIT – EXPRESS PERMIT PROGRAM,,2025-03-04T00:00:00.000,50,S,LA SALLE ST,,,ELECTRICAL MAINTENANCE PERMIT. OCCUPANCY: BUSINESS. START DATE: 3/1/2025. END DATE: 3/31/2025. ALL WORK UNDER THIS PERMIT MUST BE PERFORMED BY EMPLOYEES OF THE LISTED ELECTRICAL CONTRACTOR. THE ELECTRICAL CONTRACTOR MUST MAINTAIN COMPLETE WRITTEN RECORDS OF ALL WORK PERFORMED UNDER THIS PERMIT AND MAKE THOSE RECORDS AVAILABLE TO THE BUILDING COMMISSIONER UPON REQUEST.,,32,42,"50 S LA SALLE ST, CHICAGO, IL",
