zip_code,total_population,median_household_income,median_home_value,labor_force,state,zip code tabulation area,year,total_population_change,median_household_income_change,median_home_value_change,labor_force_change,total_permits,residential_permits,commercial_permits,retail_permits,total_construction_cost,residential_construction_cost,commercial_construction_cost,retail_construction_cost,residential_permit_ratio,commercial_permit_ratio,retail_permit_ratio,residential_cost_ratio,commercial_cost_ratio,retail_cost_ratio,new_construction_permits,renovation_permits,addition_permits,other_permits,total_permits_change,residential_permits_change,commercial_permits_change,retail_permits_change,total_construction_cost_change,residential_construction_cost_change,commercial_construction_cost_change,retail_construction_cost_change,unemployment_rate,gdp,per_capita_income,personal_income,unemployment_rate_change,gdp_change,per_capita_income_change,personal_income_change,residential_permits_3yr,population_3yr,growth_score
60636,31007.0,35077.0,150600.0,12594.0,17.0,60636,2023,0.03935239499882681,0.1519161932284654,0.1531393568147014,0.0335658596635206,14.0,4.0,0.0,1.0,864800.0,775000.0,0.0,20000.0,0.2857142857142857,0.0,0.0714285714285714,0.8961609620721555,0.0,0.0231267345050878,0.0,10.0,0.0,4.0,2.5,3.0,0.0,0.0,13.413333333333334,76.5,0.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,2.0,30417.333333333332,87.5
60602,1127.0,123047.0,383300.0,848.0,17.0,60602,2023,0.20149253731343286,-0.2659038164386667,-1.000574950000575,0.1910112359550562,81.0,13.0,5.0,5.0,90403041.0,16696500.0,34238712.0,4781312.0,0.1604938271604938,0.0617283950617283,0.0617283950617283,0.1846895836169935,0.3787340737796641,0.0528888403212011,15.0,37.0,0.0,29.0,0.7608695652173914,0.8571428571428572,0.0,1.5,1.702632260325763,1.2911463622142327,3.066355344418052,-0.2368217079010375,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,8.333333333333334,1069.0,75.0
60621,27318.0,33235.0,161900.0,11720.0,17.0,60621,2023,0.011890210023336012,0.1018466332924443,0.2941646682653878,0.0018806633612582,11.0,3.0,1.0,2.0,648000.0,148000.0,200000.0,280000.0,0.2727272727272727,0.0909090909090909,0.1818181818181818,0.228395061728395,0.3086419753086419,0.4320987654320987,0.0,10.0,0.0,1.0,0.5714285714285714,2.0,inf,inf,-0.860907731598286,-0.4618181818181818,inf,inf,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,1.3333333333333333,26951.0,73.33333333333334
60615,42752.0,62105.0,305200.0,24624.0,17.0,60615,2023,-0.0006545114539504571,0.0988534626136805,-0.0039164490861618,4.0612435527664914e-05,15.0,4.0,0.0,1.0,5640000.0,125000.0,0.0,25000.0,0.2666666666666666,0.0,0.0666666666666666,0.0221631205673758,0.0,0.0044326241134751,0.0,10.0,0.0,5.0,1.1428571428571428,3.0,0.0,inf,5.028210743682403,0.5625,0.0,inf,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,1.6666666666666667,42433.0,67.5
60610,45282.0,105649.0,543000.0,31747.0,17.0,60610,2023,0.05542606749953394,-0.0059090866321028,0.0793082886106142,0.0749305884743007,25.0,12.0,3.0,2.0,5705625.0,1643000.0,542500.0,1320000.0,0.48,0.12,0.08,0.2879614415598642,0.0950816080622193,0.2313506408149852,0.0,21.0,0.0,4.0,0.1904761904761904,0.7142857142857142,2.0,0.0,-0.2423892359618684,-0.2239823920046098,0.8083333333333333,-0.6,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,7.666666666666667,43536.0,66.66666666666667
60611,36036.0,124621.0,608200.0,25203.0,17.0,60611,2023,0.02238488381989967,-0.0172775447118569,-0.0721586575133486,0.0432568921268317,44.0,15.0,10.0,8.0,120712308.0,30382000.0,82400499.0,22116390.0,0.3409090909090909,0.2272727272727272,0.1818181818181818,0.2516893306356134,0.6826188676634366,0.1832156999268044,2.0,36.0,0.0,6.0,0.9130434782608696,1.1428571428571428,1.5,0.3333333333333332,0.1676616509152886,1.2023921710764771,0.326649641003375,-0.608432823033772,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,9.0,35281.666666666664,66.66666666666666
60605,34256.0,118403.0,495900.0,23504.0,17.0,60605,2023,-0.0016902721921081554,0.0166663804502755,0.033125,0.0124924614456793,57.0,8.0,11.0,25.0,26972709.0,3607230.0,9786752.0,16575198.0,0.1403508771929824,0.1929824561403508,0.4385964912280701,0.1337362887798923,0.3628390459408434,0.6145173627165147,7.0,44.0,0.0,6.0,0.7272727272727273,1.6666666666666665,0.0,1.272727272727273,0.2226596872517643,3.5090375,0.2380730455041009,1.4445391932748324,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,4.666666666666667,33549.0,51.66666666666666
60607,30197.0,126307.0,494300.0,21156.0,17.0,60607,2023,0.04861617529603768,0.0569623430962342,0.0149897330595483,0.0973598215675086,45.0,4.0,6.0,19.0,40304378.0,1076698.0,3103755.0,20299372.0,0.0888888888888888,0.1333333333333333,0.4222222222222222,0.0267141698601576,0.0770078873317434,0.5036517869100969,0.0,39.0,0.0,6.0,0.0227272727272727,0.33333333333333326,0.1999999999999999,2.1666666666666665,0.2363885265423322,1.5635666666666663,-0.227152639442231,9.61982568298578,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,4.666666666666667,29661.333333333332,45.833333333333336
60657,71268.0,109025.0,534500.0,52217.0,17.0,60657,2023,0.0010675356781659762,0.0341180711006563,0.0150018989745537,-0.0052009906648885,27.0,6.0,3.0,9.0,55595149.0,24693000.0,27425000.0,30321000.0,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.4441574569752479,0.4932984350846869,0.5453893108551611,2.0,23.0,0.0,2.0,0.2272727272727273,0.5,-0.4,1.25,3.769264469782658,23.020428015564203,2.7161246612466123,4.156632653061225,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,5.0,71524.33333333333,38.33333333333333
60612,34699.0,60457.0,331600.0,18784.0,17.0,60612,2023,0.006964798746336154,0.0271670800910666,-0.0323898453457834,0.0452395526125424,129.0,4.0,1.0,2.0,2827389.0,480000.0,167173.0,164716.0,0.0310077519379844,0.0077519379844961,0.0155038759689922,0.1697679378394695,0.059126282234245,0.0582572826024293,4.0,8.0,0.0,117.0,0.5176470588235293,0.33333333333333326,-0.5,1.0,-0.3688870882956604,0.6000000000000001,1.1432435897435895,-0.9503867469879518,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,2.6666666666666665,34355.333333333336,32.5
60606,3527.0,139148.0,366500.0,3244.0,17.0,60606,2023,0.00398519783660678,0.0436126090315225,0.0385378294134315,0.018524332810047,57.0,4.0,10.0,9.0,58532493.0,6719390.0,11661315.0,9121315.0,0.0701754385964912,0.175438596491228,0.1578947368421052,0.1147976048107159,0.199228059532677,0.1558333590882589,4.0,22.0,0.0,31.0,-0.123076923076923,0.33333333333333326,-0.0909090909090909,0.0,-0.6824781560731161,-0.9589755772322968,-0.9301125940140312,-0.1922070733683739,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,4.333333333333333,3446.0,29.166666666666668
