zip_code,retail_category,spending_potential,local_spending,outbound_spending,leakage_ratio,leakage_dollars
60601,books,439517079.0,203309668.91605654,236207410.08394346,0.5374248723652977,236207410.08394346
60601,clothing,439517079.0,201125666.19278634,238391412.80721366,0.5423939687386157,238391412.80721366
60601,sports,439517079.0,201125666.19278634,238391412.80721366,0.5423939687386157,238391412.80721366
60601,furniture,439517079.0,203309668.91605654,236207410.08394346,0.5374248723652977,236207410.08394346
60601,grocery,439517079.0,209879584.71620888,229637494.28379112,0.5224768393671253,229637494.28379112
60601,grocery,439517079.0,203309668.91605654,236207410.08394346,0.5374248723652977,236207410.08394346
60601,health,439517079.0,201125666.19278634,238391412.80721366,0.5423939687386157,238391412.80721366
60601,clothing,439517079.0,201125666.19278634,238391412.80721366,0.5423939687386157,238391412.80721366
60601,electronics,439517079.0,203309668.91605654,236207410.08394346,0.5374248723652977,236207410.08394346
60601,sports,439517079.0,209879584.71620888,229637494.28379112,0.5224768393671253,229637494.28379112
60601,furniture,439517079.0,203309668.91605654,236207410.08394346,0.5374248723652977,236207410.08394346
60601,furniture,439517079.0,201125666.19278634,238391412.80721366,0.5423939687386157,238391412.80721366
60601,furniture,439517079.0,201125666.19278634,238391412.80721366,0.5423939687386157,238391412.80721366
60601,books,439517079.0,203309668.91605654,236207410.08394346,0.5374248723652977,236207410.08394346
60601,health,439517079.0,209879584.71620888,229637494.28379112,0.5224768393671253,229637494.28379112
60601,restaurant,439517079.0,203309668.91605654,236207410.08394346,0.5374248723652977,236207410.08394346
60601,health,439517079.0,201125666.19278634,238391412.80721366,0.5423939687386157,238391412.80721366
60601,health,439517079.0,201125666.19278634,238391412.80721366,0.5423939687386157,238391412.80721366
60601,health,439517079.0,203309668.91605654,236207410.08394346,0.5374248723652977,236207410.08394346
60601,books,439517079.0,209879584.71620888,229637494.28379112,0.5224768393671253,229637494.28379112
60601,health,439517079.0,203309668.91605654,236207410.08394346,0.5374248723652977,236207410.08394346
60601,books,439517079.0,201125666.19278634,238391412.80721366,0.5423939687386157,238391412.80721366
60601,beauty,439517079.0,201125666.19278634,238391412.80721366,0.5423939687386157,238391412.80721366
60601,books,439517079.0,203309668.91605654,236207410.08394346,0.5374248723652977,236207410.08394346
60601,sports,439517079.0,209879584.71620888,229637494.28379112,0.5224768393671253,229637494.28379112
60602,clothing,420311160.0,197726678.87823313,222584481.12176687,0.5295707140437739,222584481.12176687
60602,furniture,420311160.0,195431981.3084799,224879178.6915201,0.5350302349609753,224879178.6915201
60602,grocery,420311160.0,197726678.87823313,222584481.12176687,0.5295707140437739,222584481.12176687
60602,grocery,420311160.0,193140806.49638674,227170353.50361326,0.5404813745692911,227170353.50361326
60602,books,420311160.0,188571187.07466644,231739972.92533356,0.5513533662188117,231739972.92533356
60602,health,420311160.0,190853695.89174134,229457464.10825866,0.545922844656941,229457464.10825866
60602,restaurant,420311160.0,197726678.87823313,222584481.12176687,0.5295707140437739,222584481.12176687
60602,electronics,420311160.0,195431981.3084799,224879178.6915201,0.5350302349609753,224879178.6915201
60602,grocery,420311160.0,197726678.87823313,222584481.12176687,0.5295707140437739,222584481.12176687
60602,grocery,420311160.0,193140806.49638674,227170353.50361326,0.5404813745692911,227170353.50361326
60602,beauty,420311160.0,188571187.07466644,231739972.92533356,0.5513533662188117,231739972.92533356
